lvl1,lvl2,lvl3,lvl4
developer,.net,air,certified
printing,3d,army,labor
abstractor,academic,assistant,marriage
advisor,account,audio,strength
coordinator,accounting,automotive,
executive,activities,behavioral,
manager,activity,big,
accountant,actuarial,biomedical,
assistant,adjunct,business,
clerk,administrative,certified,
professor,admissions,occupational,
director,aerospace,chief,
actor,traffic,child,
analyst,aircraft,clinical,
faculty,analytical,community,
instructor,android,computer,
administrator,apartment,criminal,
counselor,application,customer,
engineer,appointment,cyber,
agribusiness,architectural,data,
agronomist,national,desktop,
aide,army,direct,
controller,art,director,
mechanic,assistant,electro,
ambassador,property,elementary,
chemist,store,emergency,
anesthesiologist,athletic,entry,
setter,audio,equity,
appraiser,visual,executive,
apprentice,auto,field,
architect,autocad,food,
designer,automation,front,
guard,automotive,full,
officer,service,group,
artist,avionics,health,
assembler,background,help,
buyer,bank,high,
principal,banquet,hospice,
superintendent,bar,information,
teacher,behavior,investment,
trainer,health,it,
attorney,data,junior,
technician,billing,and,
auditor,biological,licensed,
adjuster,biomedical,loss,
drafter,equipment,market,
babysitter,booking,medical,
investigator,branch,mental,
baker,brand,mortgage,
teller,budget,nuclear,
banker,building,nursing,
server,bus,patient,
barber,business,peer,
barista,intelligence,personal,
bartender,c#,pharmaceutical,
specialist,c++,physical,
biologist,cabin,public,
scientist,cabinet,real,
biostatistician,cable,remote,
agent,cad,retail,
bookkeeper,camp,school,
brewer,cardiovascular,social,
broker,care,speech,
inspector,case,sterile,
driver,cdl,substance,
consultant,center,supply,
busser,medical,utilization,
butcher,therapy,video,
butler,welding,wind,
crew,chemical,wound,
installer,chief,,
cardiologist,marketing,,
technologist,nursing,,
worker,of,,
caregiver,life,,
caretaker,chinese,,
carpenter,civil,,
cartoonist,claims,,
caseworker,clinical,,
cashier,documentation,,
representative,laboratory,,
ceo,nurse,,
cfo,research,,
chaplain,social,,
chauffeur,cnc,,
chef,cocktail,,
operator,communications,,
police,community,,
staff,compliance,,
translator,aided,,
cio,computer,,
clergy,construction,,
clerical,content,,
clinical,contract,,
leader,controls,,
researcher,copier,,
associate,corporate,,
cna,correctional,,
coach,corrections,,
coder,cosmetology,,
composer,cost,,
design,court,,
hardware,crane,,
concierge,creative,,
conductor,credit,,
estimator,justice,,
laborer,customs,,
editor,security,,
writer,entry,,
coo,database,,
copywriter,debt,,
courier,dental,,
reporter,design,,
cro,support,,
cto,detention,,
collector,devops,,
hygienist,diabetes,,
dentist,dialysis,,
detective,diesel,,
educator,dietary,,
nurse,district,,
dietitian,dock,,
professional,driver,,
engineering,driving,,
nursing,editorial,,
operations,education,,
security,electrical,,
dishwasher,electrician,,
dispatcher,mechanical,,
dj,electronic,,
doctor,electronics,,
helper,school,,
electrician,department,,
tutor,room,,
sales,energy,,
epidemiologist,engineer,,
esthetician,engineering,,
planner,english,,
expeditor,enterprise,,
facilitator,level,,
farmer,environmental,,
fighter,equity,,
chief,etl,,
marshal,event,,
attendant,executive,,
runner,facilities,,
gardener,facility,,
counsel,farm,,
geologist,field,,
glazier,file,,
groundskeeper,finance,,
handyman,financial,,
headhunter,fire,,
homemaker,fitness,,
housekeeper,fleet,,
supervisor,flight,,
generalist,food,,
contractor,forensic,,
interpreter,forestry,,
inventor,forklift,,
janitor,fraud,,
programmer,freelance,,
journalist,french,,
lineman,desk,,
surveyor,end,,
lawyer,stack,,
secretary,game,,
librarian,general,,
cook,gis,,
linguist,graduate,,
originator,graphic,,
processor,guidance,,
locksmith,hardware,,
logistician,information,,
lpn,unit,,
lvn,healthcare,,
machinist,helicopter,,
therapist,histology,,
handler,home,,
cutter,hospice,,
production,house,,
mediator,housekeeping,,
biller,hr,,
receptionist,html,,
liaison,immigration,,
transcriptionist,independent,,
mentor,industrial,,
merchandiser,informatica,,
methodist,infusion,,
microbiologist,instructional,,
miller,instrument,,
mixer,insurance,,
underwriter,intake,,
musician,interior,,
negotiator,inventory,,
public,analystios,,
anesthetist,it,,
practitioner,project,,
nutritionist,java,,
picker,javascript,,
selector,journeyman,,
organizer,junior,,
owner,software,,
packer,lab,,
painter,delivery,,
paramedic,land,,
paraprofessional,laundry,,
navigator,law,,
sitter,leasing,,
transporter,legal,,
pediatrician,legislative,,
pharmaceutical,library,,
pharmacist,professional,,
phlebotomist,line,,
photographer,linux,,
physicist,loan,,
pilot,logistics,,
fitter,prevention,,
plumber,lube,,
poet,machine,,
porter,mail,,
producer,maintenance,,
management,manufacturing,,
promoter,marine,,
proofreader,family,,
psychiatrist,massage,,
psychologist,material,,
publisher,materials,,
tester,meat,,
host,media,,
radiographer,office,,
radiologist,records,,
realtor,sales,,
recruiter,science,,
reviewer,military,,
rigger,mobile,,
salesman,monitor,,
scheduler,mortgage,,
master,mri,,
sheriff,network,,
sonographer,news,,
pathologist,noc,,
notary,,,
statistician,nuclear,,
strategist,medicine,,
student,nutrition,,
stylist,occupational,,
preparer,operations,,
telemarketer,order,,
telemetry,orthodontic,,
examiner,package,,
toolmaker,packaging,,
climber,parts,,
trader,pastry,,
typist,patent,,
locator,pathology,,
valet,access,,
vet,patient,,
veterans,payroll,,
veterinarian,pc,,
veterinary,personal,,
president,petroleum,,
volunteer,pharmacy,,
waiter,phlebotomy,,
waitress,php,,
welder,physical,,
expert,therapist,,
,physician,,
